Headlines,Fecha,traduccion
¿Cuánto vale realmente Sabadell?,2025-09-16,How much is Sabadell really worth?
"BBVA infravalora a Sabadell al menos de tres formas, según su consejo",2025-09-16,"BBVA underestimates Sabadell in at least three ways, according to his advice"
"Oliu: ""BBVA usa la estrategia del miedo; la acción de Sabadell no se derrumbará si fracasa la opa""",2025-09-15,"Oliu: ""BBVA uses the strategy of fear; Sabadell's action will not collapse if the opa fails"""
La CNMV dice que BBVA tendría un mes para lanzar una segunda opa por Sabadell,2025-09-15,CNMV says BBVA would have a month to launch a second opa for Sabadell
"La Primera de Expansión sobre Sabadell, BBVA, Iberdrola, Xiaomi, TikTok y la Fed",2025-09-15,"The First Expansion on Sabadell, BBVA, Iberdrola, Xiaomi, TikTok and the Fed"
BBVA: intensa agenda de citas con los accionistas en la segunda semana de la opa,2025-09-15,BBVA: intense schedule of appointments with shareholders in the second week of the opa
"Josep Oliu: ""Con una prima del 30%, el consejo sí se plantearía en serio qué hacer""",2025-09-15,"Josep Oliu: ""With a 30% premium, the council would seriously consider what to do"""
"Josep Oliu: ""El negocio puede resentirse si BBVA es accionista pero no controla el banco""",2025-09-15,"Josep Oliu: ""Business can suffer if BBVA is a shareholder but does not control the bank"""
BBVA tiene el mayor colchón para pagar dividendos desde la venta millonaria de EEUU,2025-09-15,BBVA has the biggest mattress to pay dividends since US millionaire sale
Donald Trump revoluciona el M&A al imponer su 'capitalismo de Estado' a Wall Street,2025-09-15,Donald Trump revolutionizes M&A by imposing his 'state capitalism' on Wall Street
"Oliu (Sabadell): la probabilidad de éxito de la opa es ""cercana a cero""",2025-09-14,"Oliu (Sabadell): Opa's probability of success is ""close to zero"""
Bancos en el foco en plena ola de movimientos en el sector,2025-09-13,Banks in the focus in full wave of movements in the sector
Bancos europeos con gancho para invertir,2025-09-13,European banks with hook to invest
"La prima negativa, congelada a la espera de si Torres mueve ficha",2025-09-13,"The negative bonus, frozen waiting for Torres to move tab"
"Carlos Torres: ""Nos encantará contar con el equipo directivo de Sabadell""",2025-09-13,"Carlos Torres: ""We will love to have Sabadell's management team"""
"Carlos Torres: ""La oferta sobre Sabadell es muy atractiva y no hay razón para cambiarla""",2025-09-13,"Carlos Torres: ""The offer about Sabadell is very attractive and there is no reason to change it"""
"BBVA, a los accionistas de Sabadell: ""Esto es un portaviones""",2025-09-12,"BBVA, to Sabadell's shareholders: ""This is an aircraft carrier"""
"Oliu: ""Todo tiene un precio. Si BBVA hace una buena oferta por Sabadell, la contemplaríamos""",2025-09-12,"Oliu: ""Everything has a price. If BBVA makes a good offer for Sabadell, we would contemplate it"""
"Sabadell avisa sobre sinergias ""dudosas"" y una posible ampliación de capital de BBVA",2025-09-12,"Sabadell warns about ""doubtful"" synergies and a possible capital increase from BBVA"
"El inversor mexicano de Sabadell pide a BBVA que presente una ""oferta competitiva""",2025-09-12,"Mexican investor Sabadell asks BBVA to present a ""competitive offer"""
El consejo de Sabadell recomienda no acudir a la opa de BBVA,2025-09-12,Sabadell’s advice recommends not to go to BBVA’s opa
"La primera de Expansión sobre Digi, la OPA de BBVA y el BCE",2025-09-12,"The first Expansion on Digi, the BBVA OPA and the ECB"
BBVA y Sabadell miman los depósitos para retener a los clientes en la opa,2025-09-12,BBVA and Sabadell pamper deposits to retain customers in the opa
"BlackRock, Zurich y David Martínez: 2.665 millones invertidos en Sabadell",2025-09-12,"BlackRock, Zurich and David Martinez: 2,665 million invested in Sabadell"
"Société, Commerzbank y Santander activan un rally bursátil de campeonato",2025-09-12,"Société, Commerzbank and Santander activate a championship stock market rally"
La prima negativa de la oferta se relaja tras acercarse al 10%,2025-09-12,The negative premium of the offer relaxes after approaching 10%
BBVA reduce el riesgo de pérdida de clientes por la opa sobre Sabadell,2025-09-11,BBVA reduces the risk of loss of customers by the opa over Sabadell
"La primera de Expansión sobre BBVA, Mercadona, Pablo Isla, Oracle, Kirk y Sotheby's",2025-09-11,"The first Expansion on BBVA, Mercadona, Pablo Isla, Oracle, Kirk and Sotheby's"
El escenario para el accionista ante una opa de exclusión,2025-09-11,The scenario for the shareholder in the face of an opt-out
BBVA disputará con Santander la cima de la banca por beneficio si gana la opa,2025-09-11,BBVA will compete with Santander at the top of the bank for profit if the opa wins
"Zurich, Amundi y los minoristas pueden ser clave en el resultado de la opa",2025-09-11,"Zurich, Amundi and retailers can be key in the outcome of the opa"
BBVA tiene hasta el 23 de septiembre para elevar el precio,2025-09-11,BBVA has until September 23rd to raise the price
BBVA inicia mañana las reuniones con accionistas de Sabadell,2025-09-11,BBVA starts tomorrow meetings with Sabadell shareholders
BBVA no sabrá hasta el último día la aceptación real a la opa,2025-09-11,BBVA will not know until the last day the actual acceptance to the opa
Cinco valores que defienden su liderazgo en el Ibex,2025-09-11,Five values that defend your leadership in the Ibex
Hasta cuándo puede BBVA mejorar el precio de la opa,2025-09-10,Until when can BBVA improve the price of the opa
Torres (BBVA) dice que el precio de una segunda opa por Sabadell sería el mismo,2025-09-10,Torres (BBVA) said that the price of a second opa for Sabadell would be the same
Guía de los dividendos prometidos por BBVA y Sabadell,2025-09-10,Guide to dividends promised by BBVA and Sabadell
"La Primera de Expansión sobre BBVA, BCE y el nuevo iPhone 17",2025-09-10,"The First Expansion on BBVA, ECB and the new iPhone 17"
BBVA elevará el dividendo gracias a las mayores sinergias con Sabadell,2025-09-10,BBVA will raise the dividend thanks to greater synergies with Sabadell
Las firmas suman a BBVA a su 'lista de favoritos',2025-09-10,The firms add BBVA to their 'list of favorites'
BBVA revisará la estructura de financiación mayorista de Sabadell,2025-09-10,BBVA will review Sabadell’s wholesale funding structure
"González-Bueno, convencido de que BBVA mejorará su oferta: ""Es de sentido común""",2025-09-09,"Gonzalez-Well, convinced that BBVA will improve its offer: ""It's common sense"""
El Ibex consolida los 15.000 puntos pese a la crisis política francesa,2025-09-09,"Ibex consolidates 15,000 points despite the French political crisis"
GVC Gaesco prefiere a BBVA frente a Sabadell,2025-09-09,GVC Gaesco prefers BBVA against Sabadell
JPMorgan eleva más del 25% el techo de CaixaBank y Bankinter,2025-09-09,JPMorgan raises more than 25% the roof of CaixaBank and Bankinter
Tres escenarios para los accionistas de Banco Sabadell,2025-09-09,Three scenarios for the shareholders of Banco Sabadell
"La primera de Expansión sobre BBVA, Sabadell, Norges Bank, Francia y Xiaomi",2025-09-09,"The first Expansion on BBVA, Sabadell, Norges Bank, France and Xiaomi"
BBVA prepara la futura fusión con Sabadell sin tocar su autonomía,2025-09-09,BBVA prepares future merger with Sabadell without touching its autonomy
Así es peaje fiscal para los accionistas de la opa de BBVA sobre Sabadell,2025-09-09,This is tax toll for the shareholders of BBVA’s opa on Sabadell
Sabadell puede sumar mil millones anuales al beneficio de BBVA,2025-09-09,Sabadell can add a billion annually to BBVA’s profit
¿Cuáles son las empresas del Ibex con más éxito en redes sociales?,2025-09-09,What are the most successful Ibex companies on social media?
BBVA se impone cuatro condiciones para comprar Sabadell con solo el 30%,2025-09-09,BBVA imposes four conditions to buy Sabadell with only 30%
Los principales inversores que condicionarán el resultado de la opa,2025-09-09,The main investors that will condition the outcome of the opa
BBVA lanza una ofensiva para promocionar la opa entre los accionistas de Sabadell,2025-09-08,BBVA Launches Offensive to Promote Opa Among Sabadell Shareholders
"La Primera de Expansión sobre la OPA de BBVA, Geely y la reforma del M&A europeo",2025-09-08,"The First Expansion on BBVA’s OPA, Geely and the reform of the European M&A"
Arranca el periodo de aceptación de la opa para los accionistas de Sabadell,2025-09-08,Starts the acceptance period of the Opa for Sabadell shareholders
BBVA y Sabadell blindan su deuda para despejar la opa,2025-09-08,BBVA and Sabadell armor their debt to clear the Opa
Quién es quién en los equipos de BBVA y Sabadell en la opa,2025-09-08,Who is who in the teams of BBVA and Sabadell in the Opa
Luz verde a la opa: los accionistas de Sabadell deciden,2025-09-06,Green light to the Opa: Sabadell shareholders decide
BBVA logra una victoria en la SEC que le deja todas las puertas de la opa abiertas,2025-09-06,BBVA achieves a victory in the SEC that leaves all the doors of the opa open
Las preguntas todavía sin respuesta de la operación,2025-09-06,Questions still unanswered from the operation
"CNMV: ""Es la operación más compleja que hemos abordado""",2025-09-06,"CNMV: ""It's the most complex operation we've ever addressed"""
El consejo de Sabadell decidirá su posición el próximo fin de semana,2025-09-06,Sabadell's board will decide its position next weekend
Calendario de los días clave de la opa BBVA-Sabadell,2025-09-06,Calendar of the key days of the BBVA-Sabadell opa
Morata apela a reforzar la colaboración público-privada,2025-09-05,Morata appeals to strengthen public-private partnerships
"El Ibex choca con los 15.000 puntos y pierde un 0,6% en la semana",2025-09-05,"Ibex hits 15,000 points and loses 0.6% per week"
"Oliu: ""Esta oferta es incluso peor que la que ya rechazó el consejo en 2024""",2025-09-05,"Oliu: ""This offer is even worse than the one that already rejected the council in 2024"""
"Carlos Torres (BBVA): ""No tenemos la intención de cambiar nada de la oferta por Sabadell""",2025-09-05,"Carlos Torres (BBVA): ""We do not intend to change anything from the offer to Sabadell"""
"BBVA avisa de los riesgos: falta de control de Sabadell, supervisión de Economía e información imprecisa",2025-09-05,"BBVA warns of risks: lack of control of Sabadell, supervision of Economy and imprecise information"
"La asociación de accionistas minoritarios de Sabadell considera ""ofensiva"" la opa de BBVA",2025-09-05,"Sabadell's minority shareholder association considers BBVA's opa ""offensive"""
"Torres (BBVA): ""Se trata de la mejor oferta de la última década""",2025-09-05,"Torres (BBVA): ""This is the best offer of the last decade"""
BBVA-Sabadell: la prima se mantiene negativa en el -8% tras el folleto,2025-09-05,BBVA-Sabadell: the premium remains negative at -8% after the brochure
BBVA mantiene el precio de la opa y revisará la política de dividendos de Sabadell,2025-09-05,BBVA maintains the price of the opa and will review Sabadell’s dividend policy
La CNMV da luz verde a la opa de BBVA sobre Sabadell,2025-09-05,The CNMV gives the green light to BBVA’s opa about Sabadell
"CaixaBank, Santander y BBVA copan casi el 50% del crédito a grandes empresas",2025-09-05,"CaixaBank, Santander and BBVA account for almost 50% of the credit to large companies"
La SEC dejará a BBVA unificar los plazos de la opa a la ley española,2025-09-05,The SEC will allow BBVA to unify the deadlines of the opa to the Spanish law
"La Primera de Expansión sobre Mercosur, Iberdrola, BBVA, aranceles, Ucrania y Brad Pitt",2025-09-04,"The First Expansion on Mercosur, Iberdrola, BBVA, Tariffs, Ukraine and Brad Pitt"
BBVA desafiará al 'top 10' de la banca europea por activos si suma Sabadell,2025-09-04,BBVA will challenge European banking' top 10 for assets if it adds Sabadell
Santander prioriza la gestión de carteras frente a vender fondos,2025-09-04,Santander prioritizes portfolio management over selling funds
"La banca cae un 4,3% en ocho sesiones: ¿es hora de entrar?",2025-09-04,Banking falls by 4.3% in eight sessions: is it time to enter?
Santander y BBVA lograrán beneficios récord este año,2025-09-03,Santander and BBVA will achieve record profits this year
BlackRock supera el 7% en Sabadell a las puertas del inicio de la opa,2025-09-02,BlackRock exceeds 7% in Sabadell at the start of the opa
El Ibex cae hasta los 14.700 puntos pendiente de las tensiones en la deuda,2025-09-02,"The Ibex falls to 14,700 points pending tensions in the debt"
"Las 'start up', un filón para los bancos",2025-09-02,"The start-up, a match for the banks"
"La Primera de Expansión sobre BBVA, Sabadell, Trump, Stellantis, Ford y Ucrania",2025-09-01,"The First Expansion on BBVA, Sabadell, Trump, Stellantis, Ford and Ukraine"
Así votan en las opas los grandes fondos de Sabadell,2025-09-01,That's how Sabadell's big funds vote in the opas.
"Solaria y Fluidra suben más del 10%, casi el triple que el Ibex",2025-08-30,"Solaria and Fluidra rise more than 10%, almost three times as high as Ibex"
"Septiembre, mes crucial para la opa de BBVA con el inicio del plazo de canje",2025-08-30,"September, crucial month for BBVA’s opa with the start of the exchange deadline"
Goldman Sachs recorta a la mitad su participación en Banco Sabadell,2025-08-29,Goldman Sachs halves his stake in Sabadell Bank
Sabadell paga hoy un dividendo de 370 millones y BBVA ajusta otra vez el canje de la opa,2025-08-29,Sabadell pays today a dividend of 370 million and BBVA adjusts again the swap of the opa
¿Quién copa la operativa de la Bolsa española?,2025-08-29,Who will take over the Spanish Stock Exchange?
BBVA actualiza la ecuación de canje de la opa tras el dividendo de Sabadell de mañana,2025-08-28,BBVA updates the swap equation of the opa after tomorrow's Sabadell dividend
Cuatro valores del Ibex que enfilan el mejor año de su historia en Bolsa,2025-08-28,Four values of the Ibex that line the best year of its history on the Stock Exchange
"El Ibex encadena su tercera caída, lastrado por la banca, pero salva el 15.000",2025-08-27,"The Ibex chains his third downfall, weighed down by the bench, but saves 15,000"
Las gestoras de fondos exploran nuevas alianzas para ganar tamaño,2025-08-27,Fund managers explore new partnerships to gain size
Las cajas rurales escalan al 'top 5' en banca de pymes en doce CCAA,2025-08-26,Rural banks climb to the top 5 in SME banking in twelve autonomous communities
BBVA prevé crecer en todos los países los próximos cuatro años,2025-08-25,BBVA expects to grow in all countries over the next four years
Sabadell reparte 370 millones de euros entre sus accionistas el próximo viernes,2025-08-24,Sabadell distributes 370 million euros to its shareholders next Friday
"Sabadell: La prima negativa de la opa cae al 6,2% antes del dividendo",2025-08-23,Sabadell: The negative premium of the opa falls to 6.2% before the dividend
Los fondos de Bolsa española más rentables,2025-08-23,The most profitable Spanish Stock Exchange funds
CaixaBank capta 140.000 clientes en un solo trimestre,2025-08-22,"CaixaBank captures 140,000 customers in a single quarter"
Unicaja bate a Indra en rentabilidad del Ibex con dividendo,2025-08-22,Unicaja beats Indra in Ibex profitability with dividend
Bankinter lidera el crecimiento de la banca entre clientes de grandes fortunas,2025-08-21,Bankinter leads the growth of banking among customers of big fortunes
"La Primera de Expansión sobre BBVA, Masorange, Air Europa, Trump y Jackson Hole",2025-08-20,"The First Expansion on BBVA, Masorange, Air Europa, Trump and Jackson Hole"
Koplowitz carga su cartera de inversiones de deuda bancaria,2025-08-20,Koplowitz charges its portfolio of bank debt investments
Así prepara BBVA el nuevo folleto de la opa sobre Sabadell,2025-08-20,This is how BBVA prepares the new brochure of the Opa about Sabadell
Ola de incendios: zona catastrófica para el infierno rural,2025-08-19,Fire Wave: Catastrophe Zone for Rural Hell
"Amadeus, Grifols, Acerinox y ACS lideran el salto exterior del Ibex",2025-08-19,"Amadeus, Grifols, Acerinox and ACS lead the Ibex's outer jump"
"CaixaBank, BBVA y Santander salen vencedores de la gran reforma bancaria",2025-08-19,"CaixaBank, BBVA and Santander win the big bank reform"
Sabadell y Logista pagan 444 millones en dividendos,2025-08-19,Sabadell and Logista pay 444 million in dividends
Las empresas del Ibex marcan récord de valor en Bolsa con más de 943.000 millones,2025-08-18,The companies of the Ibex record value on the Stock Exchange with more than 943 billion
BBVA volverá a ajustar este mes la ecuación de canje de la opa sobre Sabadell,2025-08-17,BBVA will adjust again this month the swap equation of the opa on Sabadell
BBVA pierde cerca de 45.000 accionistas desde el inicio de la opa,2025-08-16,"BBVA loses about 45,000 shareholders since the start of the opa"
¿Qué se puede esperar de BBVA y Sabadell en Bolsa?,2025-08-16,What can you expect from BBVA and Sabadell on the Stock Exchange?
Torres se pone más deberes en la opa sobre Sabadell,2025-08-15,Torres gets more homework on the opa about Sabadell
Sabadell toca el récord histórico en Bolsa 18 años después,2025-08-15,Sabadell plays the historic record in Stock Exchange 18 years later
BBVA recurre ante el Supremo el veto a la fusión del Gobierno,2025-08-14,BBVA appeals to the Supreme to veto the merger of the government
La banca propulsa el rally bursátil hasta niveles de 2007,2025-08-14,Banking propelled the stock market rally up to 2007 levels
Zurcher Kantonalbank supera de nuevo el 1% de Banco Sabadell,2025-08-13,Zurcher Kantonalbank once again exceeds 1% of Banco Sabadell
"La insistencia de BBVA en la opa arrastra la prima negativa al 8,6%",2025-08-13,BBVA's insistence on the opa drags the negative premium to 8.6%
El Ibex cierra plano tras la tregua comercial y la inflación en EEUU,2025-08-12,Ibex closes flat after US trade truce and inflation
"BBVA, firme con la opa a Sabadell tras la venta de TSB y el macrodividendo",2025-08-12,"BBVA, sign with the opa to Sabadell after the sale of TSB and the macrodividend"
Sabadell acelera en el Ibex tras confirmar BBVA que sigue con la opa,2025-08-12,Sabadell accelerates in the Ibex after confirming BBVA continues with the opa
"La Primera de Expansión sobre BBVA, Sabadell, Atom Bank, China, Subway y Defensa",2025-08-12,"The First Expansion on BBVA, Sabadell, Atom Bank, China, Subway and Defense"
"La prima negativa se ubica en el 6,1%",2025-08-12,The negative premium is 6.1%
El Ibex 35 vuela en 2025 y tiene potencial aún para subir otro 4%,2025-08-11,The Ibex 35 flies in 2025 and still has potential to raise another 4%
Santander y BBVA aportan 1.700 millones de beneficio a sus socios,2025-08-11,Santander and BBVA contribute 1.7 billion profits to their partners
Las 9 lecciones sobre opas hostiles que han aprendido BBVA y UniCredit,2025-08-11,The 9 lessons on hostile opas that BBVA and UniCredit have learned
Los accionistas de Sabadell se enfrentan a un escenario incierto,2025-08-09,Sabadell’s shareholders face an uncertain scenario
El Ibex conquista los 14.800 puntos en su mejor semana en cuatro meses,2025-08-08,"The Ibex conquers 14,800 points in its best week in four months"
BBVA acelera en el Ibex tras admitir más riesgos en la opa,2025-08-08,BBVA accelerates in the Ibex after admitting more risks in the opa
Deutsche pone coto al rally de los bancos del Ibex: del +5% al -9%,2025-08-08,Deutsche puts a stop to the rally of the banks of the Ibex: from +5% to -9%
"La Primera de Expansión sobre Sabadell, BBVA, Neinor, Aedas, Metrovacesa, Petrobras y KKR",2025-08-08,"The First Expansion on Sabadell, BBVA, Neinor, Aedas, Metrovacesa, Petrobras and KKKR"
El mercado ve más lejos una mejora de la opa de BBVA sobre Sabadell,2025-08-08,The market sees further an improvement of BBVA’s opa on Sabadell
El Ibex cierra en máximos del año por tercer día consecutivo,2025-08-07,The Ibex closes in maximum of the year for the third consecutive day
BBVA revisa las sinergias de la opa sobre Sabadell y admite mayores riesgos,2025-08-07,BBVA reviews the synergies of the opa on Sabadell and admits greater risks
Los accionistas de Sabadell lo tienen claro,2025-08-07,Sabadell's shareholders are clear.
Sabadell: así impacta el dividendo y la venta de TSB en los accionistas,2025-08-07,Sabadell: This is how the dividend and sale of TSB impact shareholders
BBVA recibe una valoración récord de Barclays,2025-08-07,BBVA receives a record valuation from Barclays
"La Primera de Expansión sobre Sabadell, BBVA, Cinven, KKR, aranceles, chips y Apple",2025-08-07,"The First Expansion on Sabadell, BBVA, Cinven, KKR, tariffs, chips and Apple"
"Merlin, BBVA y Aena lideran las subidas del Ibex 35 en agosto",2025-08-07,"Merlin, BBVA and Aena lead the Ibex 35 hikes in August"
El Ibex renueva sus máximos anuales al conquistar los 14.500 puntos,2025-08-06,"The Ibex renews its annual maximums by winning the 14,500 points"
"""Más vale malo conocido que bueno por conocer"": crónica de ambiente de una jornada clave para Sabadell",2025-08-06,"""Better known bad than good to know"": environment chronicle of a key day for Sabadell"
"El 99,7% de los accionistas de Sabadell aprueban el macrodividendo récord de 2.500 millones",2025-08-06,99.7% of Sabadell’s shareholders approve the record high of 2.5 billion
"El 99,6% de accionistas de Sabadell aprueba la venta de TSB por 3.100 millones",2025-08-06,99.6% of Sabadell’s shareholders approve of the sale of TSB for 3.1 billion
"La Primera de Expansión sobre Sabadell, Indra, Wallapop, Tesla, Ikea y Warren Buffett",2025-08-06,"The First Expansion on Sabadell, Indra, Wallapop, Tesla, Ikea and Warren Buffett"
Ocho dividendos del Ibex que triplican la rentabilidad de las Letras,2025-08-06,Eight dividends from Ibex that triple the profitability of the Letters
Guía para los accionistas de las juntas de Sabadell,2025-08-06,Guide to Sabadell Board Shareholders
Antolin capta 150 millones del ICO para reforzar su liquidez,2025-08-05,Antolin captures 150 million from ICO to strengthen its liquidity
Así afecta la venta de TSB a la opa de BBVA-Sabadell,2025-08-05,This affects the sale of TSB to BBVA-Sabadell’s opa
"El Ibex recupera los 14.300 puntos, impulsado por Santander, BBVA y CaixaBank",2025-08-04,"Ibex recovers 14,300 points, driven by Santander, BBVA and CaixaBank"
Las acciones de los bancos europeos alcanzan máximos no vistos desde 2008,2025-08-04,European banks’ shares reach peaks not seen since 2008
"La Primera de Expansión BBVA, Acciona Energía, Cox, Nvidia, Boeing y el sector del lujo",2025-08-04,"The First Expansion BBVA, Acciona Energía, Cox, Nvidia, Boeing and the Luxury Sector"
Resultados bancarios semestrales: ¿más de lo mismo?,2025-08-04,Half-yearly bank results: more of the same?
Así se reparte el capital de Sabadell antes de dos juntas clave,2025-08-04,This is how Sabadell's capital is distributed before two key meetings
BBVA tiene 4.400 millones para mejorar la opa sobre Sabadell,2025-08-04,BBVA has 4.4 billion to improve the opa on Sabadell
"Cuerpo asegura que el Gobierno trabaja para sacar ""con garantías"" los Presupuestos de 2026",2025-08-03,"Body assures that the government works to take out ""with guarantees"" the Budgets of 2026"
"Bankinter, CaixaBank y Santander tienen los balances más resistentes",2025-08-02,"Bankinter, CaixaBank and Santander have the most robust balance sheets"
Sabadell encara dos juntas clave para regar a sus accionistas con 2.500 millones,2025-08-02,Sabadell faces two key meetings to water its shareholders with 2.5 billion
El euro sucumbe ante el billete verde,2025-08-02,The euro succumbs to the green bill
"Unicaja y Bankinter, los bancos españoles más solventes, y Sabadell y Santander, los menos",2025-08-01,"Unicaja and Bankinter, the most solvent Spanish banks, and Sabadell and Santander, the least"
La banca enfila otro año récord tras ganar 17.086 millones,2025-08-01,"The bank ranks another record year after winning 17,086 million"
"Grifols, Acciona Energía y Sabadell se disparan más del 15% en julio",2025-08-01,"Grifols, Actiona Energía and Sabadell shoot more than 15% in July"
"BBVA aumenta la presión sobre Sabadell, pero mantiene que en solitario será muy rentable",2025-07-31,"BBVA increases the pressure on Sabadell, but maintains that solo will be very profitable"
"Genç (BBVA): ""Si no hay oportunidad de crear valor, retiraremos la opa sobre Sabadell""",2025-07-31,"Genç (BBVA): ""If there is no opportunity to create value, we will withdraw the opa on Sabadell"""
BBVA demuestra que no necesita a Sabadell,2025-07-31,BBVA shows it doesn't need Sabadell
BBVA prevé repartir 36.000 millones entre sus accionistas hasta 2028,2025-07-31,BBVA plans to distribute $36 billion to its shareholders until 2028
El Banco de España rebaja el colchón sistémico de BBVA,2025-07-31,Banco de España reduces BBVA’s systemic buffer
"Sabadell quiere ser un banco más pequeño, pero más rentable",2025-07-31,Sabadell wants to be a smaller but more profitable bank
Sabadell roza máximo histórico de capital pese a los macrodividendos,2025-07-30,Sabadell top historical capital brush despite the macrodividends
Unicaja reafirma su apuesta por seguir en solitario y mejora previsiones para 2025,2025-07-29,Unicaja reaffirms its commitment to remain alone and improves forecasts for 2025
La Bolsa cotiza más sorpresas positivas en la banca española,2025-07-29,The Stock Exchange Lists More Positive Surprises in Spanish Banking · Global Voices
El mal ejemplo europeo en la concentración bancaria,2025-07-29,The bad European example in banking concentration
"González-Bueno (Sabadell): ""Con las condiciones actuales de la opa no va nadie, solo algún despistado""",2025-07-28,"González-Bueno (Sabadell): ""With the current conditions of the opa no one goes, only some lost"""
Laboral Kutxa crecerá en el mercado catalán con la apertura de doce oficinas,2025-07-27,Kutxa Labour will grow in the Catalan market with the opening of twelve offices
Las opas de la banca europea dan más ganancias en Bolsa de lo que pagan,2025-07-26,European banking opas give more stock exchange earnings than they pay
La compleja y decidida decisión de Sabadell de seguir en solitario,2025-07-24,Sabadell’s complex and determined decision to remain alone
"González-Bueno (Sabadell): ""Es el momento de la fusiones transfronterizas en Europa""",2025-07-24,"González-Bueno (Sabadell): ""It's time for cross-border mergers in Europe"""
TSB dispara su beneficio a récord antes de la venta a Santander,2025-07-24,TSB shoots its profit to record before sale to Santander
Sabadell advierte a BBVA que afrontará años de cero sinergias tras la adquisición,2025-07-24,Sabadell warns BBVA that it will face years of zero synergies after the acquisition
Sabadell saca la artillería,2025-07-24,Sabadell pulls out the artillery
Sabadell se compromete a repartir 6.300 millones hasta 2027 y prevé elevar la rentabilidad al 16%,2025-07-24,Sabadell undertakes to distribute 6.3 billion until 2027 and plans to raise profitability to 16%
La banca se toma una tregua en Bolsa antes de los resultados,2025-07-24,The bank takes a truce on the stock market before the results
Sabadell recibirá 150 millones adicionales por el uso de la plataforma de TSB,2025-07-24,Sabadell will receive an additional $150 million for the use of the TSB platform
GVC Gaesco hace cambios en renovables e industriales,2025-07-24,GVC Gaesco makes changes in renewables and industrials
El gigante de las pensiones de Japón toma posiciones en la opa de BBVA sobre Sabadell,2025-07-23,Japan's pension giant takes positions in BBVA's opa on Sabadell
Holaluz despeja las dudas sobre su plan de reestructuración,2025-07-23,Holaluz clears doubts about its restructuring plan
La Audiencia Nacional rechaza que Foment intervenga en la opa de BBVA a Sabadell,2025-07-23,The National High Court rejects Foment’s intervention in BBVA’s opa to Sabadell
"CaixaBank, Sabadell y BBVA copan el 'top 5' europeo por crecimiento",2025-07-23,"CaixaBank, Sabadell and BBVA take the European 'top 5' for growth"
La banca europea avanza en los rátings de sostenibilidad,2025-07-23,European banking advances in sustainability ratings
"La prima negativa de la opa de BBVA marca un récord del 14,4%",2025-07-23,The negative premium of BBVA’s opa marks a record 14.4%
La CNMV pide explicaciones a Sabadell sobre la venta de TSB,2025-07-22,CNMV asks Sabadell for explanations on the sale of TSB
"La Primera de Expansión sobre BBVA, Lidl, Mercadona, Santander, Revolut, JPMorgan y alquimia",2025-07-22,"The First Expansion on BBVA, Lidl, Mercadona, Santander, Revolut, JPMorgan and alchemy"
El BBVA retrasa a septiembre el periodo de aceptación de la opa,2025-07-21,BBVA delays the acceptance period of the opa to September
RBE refinancia 1.100 millones y paga un megadividendo a Cinven,2025-07-21,RBE refinances 1.1 billion and pays a megadividend to Cinven
"La Primera de Expansión sobre BBVA, Sabadell, M&A, renovables, Microsoft, Buffett y Apple",2025-07-21,"The First Expansion on BBVA, Sabadell, M&A, Renewables, Microsoft, Buffett and Apple"
BBVA podrá subir el precio de la opa con el dividendo extra por TSB,2025-07-21,BBVA will be able to raise the price of the opa with the extra dividend by TSB
"Sabadell y BBVA, los bancos que más crecen en seguros",2025-07-21,"Sabadell and BBVA, the banks that grow the most in insurance"
Las nuevas inversiones de los gestores 'value',2025-07-19,The new investments of the 'value' managers
La banca tiene combustible para prolongar su etapa dulce en Bolsa,2025-07-19,The bench has fuel to prolong its sweet stage in Stock Exchange
"Teresa Garcia-Milà (Círculo de Economía): ""En vivienda hay un problema de oferta a todos los niveles""",2025-07-19,"Teresa Garcia-Milà (Círculo de Economía): ""In housing there is an offer problem at all levels"""
"Montero: España está ""contestando en plazo"" a los requerimientos de Bruselas sobre la opa de BBVA por Sabadell",2025-07-18,"Montero: Spain is ""responding in time"" to Brussels's requirements on BBVA's opa by Sabadell"
Europa y el control de las fusiones bancarias,2025-07-18,Europe and the control of bank mergers
La banca europea eleva las provisiones ante los mayores riesgos mundiales,2025-07-18,European banking raises provisions in the face of the greatest global risks
Los 'proxies' ISS y Glass Lewis apoyan la venta de TSB porque no impide la opa de BBVA sobre Sabadell,2025-07-18,The 'proxies' ISS and Glass Lewis support the sale of TSB because it does not prevent BBVA's opa on Sabadell
"La Primera de Expansión sobre Indra, BBVA, Sabadell, Santander, Inditex, Jay Powell y la IA",2025-07-18,"The First Expansion on Indra, BBVA, Sabadell, Santander, Inditex, Jay Powell and the AI"
¿Predecirá la junta de Sabadell el resultado de la opa de BBVA?,2025-07-18,Will Sabadell’s board predict the outcome of BBVA’s opa?
"Santander, BBVA y CaixaBank, únicos bancos españoles del 'top 100' mundial",2025-07-18,"Santander, BBVA and CaixaBank, the only Spanish banks of the world's top 100"
Europa inicia un proceso largo y sin garantías de que allane la operación,2025-07-18,Europe starts a long process without guarantees that it will extend the operation
El expediente de Bruselas y la opa de BBVA a Sabadell evolucionarán en paralelo,2025-07-18,The Brussels dossier and the BBVA to Sabadell opa will evolve in parallel
Díaz defiende la actuación del Gobierno en la opa de BBVA ante el expediente de Bruselas,2025-07-17,Díaz defends the government’s action in BBVA’s opa before the Brussels file
